time	val0	val1	val2	val3	val4	val5	val6	val7
387	354	29	3838	359	12	13	13	14	
388	353	23	3833	356	10	10	10	10	
389	353	14	3834	356	7	7	7	7	
390	353	6	3836	357	5	5	5	4	
391	353	5	3835	356	5	6	5	5	
393	353	3	3839	356	5	5	4	5	
394	353	0	3836	356	2	2	1	0	
395	353	0	3836	356	0	0	0	0	
396	353	0	3836	356	1	2	2	2	
397	354	0	3839	356	5	5	6	5	
398	353	6	3834	356	7	7	7	6	
399	353	10	3835	356	8	8	8	8	
400	353	12	3836	357	7	9	8	8	
401	353	14	3836	356	8	9	8	9	
402	353	21	3839	356	12	13	13	15	
404	353	30	3836	356	12	13	13	17	
405	352	20	3840	354	7	6	7	8	
406	353	16	3835	360	9	9	9	9	
407	353	9	3839	356	5	6	5	5	
408	353	4	3835	356	5	6	5	5	
409	353	1	3836	356	5	5	5	4	
410	353	1	3835	356	4	4	2	1	
411	353	0	3836	356	0	0	0	0	
412	353	0	3835	356	1	1	1	0	
413	353	0	3836	356	5	5	5	4	
414	353	3	3838	356	7	8	8	6	
416	353	9	3835	356	7	8	8	9	
417	354	10	3836	356	8	8	8	9	
418	353	14	3833	356	9	8	9	8	
419	353	19	3836	356	11	12	13	14	
420	353	31	3837	357	13	13	13	14	
421	353	27	3836	356	11	10	11	11	
422	354	17	3839	357	8	8	8	8	
423	353	10	3823	356	6	5	6	5	
424	353	4	3835	356	5	5	4	5	
425	353	2	3836	356	5	6	4	5	
427	353	0	3836	356	5	5	4	3	
428	353	0	3831	356	0	0	0	0	
429	353	0	3836	356	0	0	1	0	
430	353	0	3836	357	5	5	5	3	
431	353	4	3836	356	6	6	8	6	
432	353	10	3839	356	6	8	8	8	
433	353	10	3835	356	8	8	9	8	
434	353	13	3836	356	8	9	9	9	
435	353	14	3835	356	9	11	11	13	
436	354	30	3840	356	13	13	13	15	
438	353	27	3833	356	11	11	12	12	
439	353	18	3836	356	9	8	8	9	
440	354	10	3839	360	6	6	6	5	
441	353	5	3839	359	5	6	6	5	
442	353	3	3836	356	5	5	5	4	
443	353	2	3836	357	5	4	4	3	
444	353	0	3835	356	0	0	0	0	
445	353	0	3839	356	0	0	0	0	
446	353	0	3835	356	4	4	5	4	
447	353	2	3835	356	6	6	7	6	
449	353	9	3836	356	7	8	8	8	
450	353	10	3834	356	8	8	8	8	
451	353	13	3839	356	8	8	8	9	
452	353	13	3836	356	9	10	10	11	
453	354	30	3835	357	13	13	14	14	
454	353	28	3836	356	12	11	11	13	
455	354	21	3840	356	8	9	8	9	
456	353	10	3832	356	6	6	7	6	
457	353	6	3834	356	6	5	5	5	
458	348	2	3807	354	10	10	10	8	
460	353	0	3836	354	6	2	6	3	
461	353	0	3839	356	0	1	0	0	
462	353	0	3836	356	0	0	0	0	
463	353	0	3836	357	4	4	4	3	
464	353	2	3837	356	6	7	6	6	
465	354	7	3838	356	7	8	8	8	
466	353	11	3836	356	7	7	8	8	
467	353	12	3836	356	8	8	9	9	
468	353	13	3836	356	9	9	9	10	
469	353	27	3835	356	13	13	14	15	
471	353	30	3835	356	12	12	12	13	
472	353	21	3835	356	9	10	10	10	
473	353	13	3836	357	6	6	6	6	
474	353	5	3836	356	5	5	5	6	
475	354	3	3839	356	5	5	5	5	
476	348	2	3836	354	5	9	5	7	
477	354	0	3840	354	0	0	0	0	
478	353	0	3836	356	0	1	0	0	
479	353	0	3835	356	3	4	4	2	
480	353	0	3835	356	5	6	6	5	
482	353	6	3836	356	7	8	7	8	
483	353	10	3836	357	8	7	8	8	
484	353	12	3835	356	9	9	8	9	
485	353	14	3839	356	8	9	9	10	
486	353	26	3836	356	13	13	14	16	
487	353	29	3835	357	13	13	13	14	
488	353	22	3836	356	10	9	10	11	
489	354	14	3840	356	8	8	7	6	
490	353	7	3833	356	6	6	5	5	
491	353	4	3836	356	5	6	5	5	
492	353	1	3836	356	5	5	4	3	
494	353	0	3836	356	2	2	2	0	
495	349	0	3807	354	2	3	2	1	
496	357	0	3872	356	1	4	3	2	
497	353	0	3835	357	5	5	5	5	
498	353	6	3835	356	6	8	7	8	
499	354	8	3838	356	7	7	8	6	
500	353	13	3832	356	8	9	9	8	
501	353	13	3836	356	8	9	8	8	
502	354	23	3836	356	12	13	13	15	
503	353	30	3834	356	13	13	13	15	
505	353	23	3837	356	10	10	10	10	
506	353	17	3835	356	7	8	8	7	
507	353	6	3836	357	5	5	5	5	
508	353	4	3836	356	5	5	5	4	
509	354	2	3838	356	4	5	5	4	
510	353	1	3836	356	3	4	4	1	
511	353	0	3836	356	0	0	0	0	
512	354	0	3839	357	0	1	0	0	
513	349	0	3815	355	4	8	4	5	
514	353	5	3835	356	8	7	6	6	
516	353	10	3833	356	6	7	8	7	
517	353	11	3836	356	7	8	8	9	
518	353	14	3835	356	9	9	9	9	
519	353	18	3836	357	11	12	13	13	
520	353	31	3835	356	13	13	13	15	
521	354	23	3836	356	10	10	10	11	
522	353	20	3831	356	9	8	8	8	
523	353	10	3836	356	6	6	5	5	
524	353	4	3836	356	5	5	6	5	
525	353	2	3835	356	4	5	5	4	
527	353	0	3839	356	5	4	3	2	
528	353	0	3835	356	0	0	0	0	
529	353	0	3836	356	1	0	1	0	
530	353	0	3839	356	4	5	4	4	
531	355	4	3831	356	5	8	7	8	
532	348	9	3833	356	8	7	7	6	
533	353	10	3836	356	7	8	8	8	
534	353	14	3835	356	8	9	9	9	
535	353	16	3835	356	10	11	12	13	
536	353	30	3839	356	13	13	13	14	
538	353	26	3836	356	10	10	11	11	
539	353	18	3836	356	9	9	9	8	
540	353	10	3836	356	6	6	6	5	
541	354	5	3836	356	6	5	5	5	
542	353	4	3832	356	5	5	5	4	
543	353	0	3837	356	5	4	5	4	
544	353	0	3837	356	0	0	0	0	
545	353	0	3833	356	0	0	0	0	
546	353	0	3839	356	4	5	5	3	
547	353	2	3836	356	6	6	6	6	
548	355	9	3839	357	7	6	7	6	
550	353	10	3835	357	7	7	8	8	
551	354	13	3840	356	8	8	9	9	
552	353	13	3832	356	9	10	11	11	
553	353	30	3835	356	14	14	14	16	
554	353	29	3836	357	13	12	12	13	
555	353	20	3835	356	9	9	9	9	
556	353	12	3838	356	6	6	6	6	
557	353	6	3837	356	5	5	5	5	
558	353	3	3836	356	5	5	5	5	
559	353	0	3835	356	4	5	5	4	
561	354	0	3835	356	0	0	0	0	
562	353	0	3839	356	0	0	0	0	
566	353	0	3835	356	6	6	6	4	
567	351	11	3831	356	9	7	9	8	
568	353	9	3835	354	7	7	8	9	
569	354	23	3840	356	12	13	13	14	
570	353	32	3836	357	13	13	14	14	
571	353	24	3835	356	10	10	10	11	
572	353	16	3836	356	8	9	8	9	
573	353	8	3835	356	5	6	5	5	
574	353	3	3835	356	5	6	5	5	
576	353	2	3836	356	5	5	5	4	
577	353	1	3835	357	4	2	3	1	
578	353	0	3835	356	0	0	0	0	
579	354	0	3836	356	0	0	1	0	
580	353	0	3839	356	5	5	5	4	
581	353	4	3835	356	7	8	8	7	
582	353	10	3835	357	7	6	8	7	
583	353	11	3835	356	8	9	8	9	
584	354	13	3841	356	8	9	9	9	
585	354	18	3840	357	10	11	13	14	
587	353	31	3838	356	13	13	14	14	
588	353	28	3835	356	10	11	11	11	
589	353	18	3835	356	9	8	8	8	
590	353	9	3833	356	6	6	5	5	
591	353	4	3835	356	5	5	5	4	
592	353	2	3837	356	5	5	5	4	
593	353	0	3836	356	4	5	4	3	
594	353	0	3834	356	0	0	0	0	
595	353	0	3835	356	0	0	0	0	
596	353	0	3835	356	4	5	6	3	
597	354	2	3838	356	6	6	6	6	
599	353	10	3833	356	7	8	7	8	
600	353	10	3835	356	8	9	8	8	
601	353	13	3836	357	9	8	9	9	
602	353	14	3839	357	8	10	10	13	
603	355	30	3839	357	13	13	13	15	
604	349	29	3836	356	11	10	11	12	
605	353	18	3836	356	9	9	9	9	
606	353	10	3836	356	6	6	6	6	
607	353	5	3835	356	5	5	5	5	
608	353	2	3837	356	5	5	5	4	
610	353	1	3835	356	5	5	5	4	
611	353	0	3835	356	0	0	0	0	
612	353	0	3835	356	0	0	0	0	
613	354	0	3836	356	4	4	4	3	
614	353	1	3833	356	6	6	6	5	
615	353	7	3836	356	8	7	8	8	
616	353	11	3835	357	8	9	8	8	
617	353	13	3835	356	9	9	9	9	
618	353	14	3836	356	9	10	10	10	
619	353	28	3835	356	13	14	14	15	
621	354	29	3839	357	11	11	11	13	
622	350	22	3823	356	8	9	9	10	
623	353	13	3837	356	5	6	6	6	
624	353	6	3836	356	6	6	5	5	
625	353	3	3833	356	5	5	5	5	
626	353	1	3835	356	5	5	4	4	
627	353	0	3836	356	0	0	0	0	
628	354	0	3834	356	0	0	0	0	
629	353	0	3837	356	3	3	4	2	
630	354	1	3840	356	5	6	6	5	
632	353	6	3833	356	7	8	9	8	
633	353	11	3834	356	8	8	8	8	
634	353	14	3836	357	8	7	9	8	
635	353	14	3835	356	8	9	9	10	
636	353	27	3839	356	13	14	14	16	
637	353	29	3834	356	13	13	13	13	
638	353	22	3836	357	10	9	9	10	
639	357	13	3840	354	2	6	2	6	
640	353	5	3835	356	5	6	6	5	
641	353	3	3839	356	5	5	5	4	
643	353	1	3836	356	4	4	5	4	
644	353	0	3836	356	1	0	0	0	
645	353	0	3836	356	0	0	0	0	
646	354	0	3840	356	2	2	3	2	
647	353	0	3832	356	5	6	6	5	
648	353	7	3834	356	7	8	7	7	
649	353	10	3836	357	8	8	7	7	
650	353	12	3836	356	9	9	9	8	
651	353	13	3839	356	8	9	9	9	
652	353	26	3835	356	13	13	14	15	
654	353	30	3836	356	13	13	13	14	
655	353	23	3835	356	10	10	10	11	
656	354	14	3840	356	7	8	7	7	
657	349	6	3815	355	8	6	5	5	
658	347	5	3807	356	5	5	5	4	
659	353	2	3836	357	4	4	4	4	
660	353	0	3834	356	2	1	1	0	
661	353	0	3839	356	0	0	0	0	
662	353	0	3835	356	1	2	2	0	
663	353	0	3835	356	5	5	6	5	
664	353	5	3836	356	7	8	7	7	
666	354	9	3836	356	8	8	8	8	
667	353	12	3834	356	9	8	8	9	
668	353	14	3835	356	9	9	9	9	
669	353	23	3836	357	12	13	13	15	
670	353	31	3835	356	13	13	13	14	
671	353	25	3839	356	10	10	10	11	
672	353	15	3836	356	8	8	8	8	
673	353	9	3835	356	6	5	6	5	
674	355	4	3839	356	5	5	5	4	
675	353	4	3840	355	4	5	4	5	
677	353	0	3833	356	4	2	2	0	
678	353	0	3836	356	0	0	0	0	
679	353	0	3836	357	0	0	1	0	
680	353	0	3837	356	5	5	5	5	
681	354	3	3836	356	6	7	8	6	
682	353	9	3833	356	8	8	8	7	
683	353	12	3835	356	8	9	8	9	
684	353	14	3835	356	8	9	8	9	
685	353	18	3836	356	11	11	12	14	
686	353	30	3839	356	13	13	14	15	
688	353	28	3835	356	10	10	10	11	
689	353	18	3836	356	9	8	8	8	
690	353	9	3835	356	5	7	5	5	
691	354	4	3836	356	5	5	5	5	
692	356	3	3864	356	4	5	3	4	
693	353	0	3836	356	5	5	4	3	
694	353	0	3836	357	0	0	0	0	
695	353	0	3834	356	0	0	0	0	
696	353	0	3839	356	4	5	5	4	
697	353	4	3835	356	6	6	7	6	
699	353	8	3836	356	8	8	7	7	
700	353	12	3836	356	7	9	8	9	
701	353	13	3835	356	8	9	9	9	
702	353	15	3832	356	10	10	11	13	
703	353	30	3836	356	13	13	14	15	
704	353	29	3837	357	11	11	11	12	
705	353	20	3836	356	9	9	9	10	
706	354	10	3839	356	5	6	6	6	
707	353	6	3835	356	5	5	5	5	
708	353	2	3835	356	5	5	5	4	
709	353	0	3837	356	5	5	5	8	
711	357	0	3872	360	0	0	0	0	
712	353	0	3831	359	0	0	0	0	
713	353	0	3835	356	4	5	5	3	
714	353	2	3834	357	5	5	6	5	
715	353	8	3835	356	7	8	8	8	
716	353	10	3839	356	7	8	7	9	
717	353	13	3836	356	8	8	9	9	
718	353	11	3839	356	9	10	10	11	
719	353	30	3837	356	13	14	14	16	
721	353	30	3836	357	12	12	12	13	
722	353	20	3836	356	9	10	9	9	
723	353	13	3839	356	6	6	6	6	
724	353	5	3837	356	5	5	5	4	
725	353	2	3835	356	5	5	5	4	
726	353	1	3836	357	5	4	5	3	
727	353	0	3834	356	0	0	0	0	
